//ID	Name	Activation interval	Transfer Persists Duration	Use Effect Script	Remove Effect Script	Replacement principle	Can it be manually cancelled	Can it move	Confirm to use skill	Can normal attack be used	Can it be traded	Confirm to use Item	Can it be attacked	Can item be used by others	Can skill be used by others	Are you seen by anybody	Is it forced to show shape	Can inventory be used	can talk to NPC	Remove Effect ID	Screen Effect	Client Performance	Client Display Identification	Ground Status Effect	Center Display	Knock out display	Special effect of recipe	dummy1	Under this status attacked effect display	dummy2	ICON	Description	Desciption	Display format	StateType
140	Deathsoul Taunt	-1	0	State_wlcx_Add	State_wlcx_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	926	-1	0	0	0	s302sk	0	1566795	3
141	Cursed Blood	1	0	State_wlcx2_Add	State_wlcx2_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	s141ef	0	1566795	3
142	Deathsoul Poison Dart	1	0	State_wldb_Add	State_wldb_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	cos008	0	1566795	3
143	Deathsoul stun	-1	0	State_wljy_Add	State_wljy_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	cos018	0	1566795	3
144	Whirlpool	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	s0218	0	1566795	3
145	Cloud Attack	1	State_ywgj_Tran	State_ywgj_Add	State_ywgj_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	293	0	0	0	-1	0	0	0	error	0	1566795	0
146	Roar of Deathsoul	-1	0	State_wlnh_Add	State_wlnh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	cos17	0	1566795	3
147	Fairy EXP Bonus	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1483	0	1566795	2
148	Skill - Defecate	-1	0	State_jltx1_Add	State_jltx1_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	830	1	0	0	0	error	0	1566795	0
149	Skill - Undergarment	-1	0	State_jltx2_Add	State_jltx2_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	831	1	0	0	0	error	0	1566795	0
150	Skill - Garment	-1	0	State_jltx3_Add	State_jltx3_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	832	1	0	0	0	error	0	1566795	0
151	Skill - Coin Shower	-1	0	State_jltx4_Add	State_jltx4_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	833	1	0	0	0	error	0	1566795	0
152	Skill - Fool	-1	0	State_jltx5_Add	State_jltx5_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	834	1	0	0	0	error	0	1566795	0
153	Skill - Snooty	-1	0	State_jltx6_Add	State_jltx6_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	835	1	0	0	0	error	0	1566795	0
154	Skill - Dumb	-1	0	State_jltx7_Add	State_jltx7_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	836	1	0	0	0	error	0	1566795	0
155	Skill - Dumb	-1	0	State_jltx8_Add	State_jltx8_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	837	1	0	0	0	error	0	1566795	0
156	Heart of Innocence	-1	0	State_CZZX_Add	State_CZZX_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	error	0	1566795	0
157	Kara's Victory	-1	0	State_KALA_Add	State_KALA_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	error	0	1566795	0
158	Sure-death	2	0	State_5MBS_Add	State_5MBS_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	error	0	1566795	0
159	Flash Bomb	-1	0	State_ShanGD_Add	State_ShanGD_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	n1695	0	1566795	3
160	Radiation	1	State_FuShe_Tran	State_FuShe_Add	State_FuShe_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	n1696	0	1566795	3
161	Ship Atomizer	-1	0	State_PengSheQi_Add	State_PengSheQi_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	222	-1	0	0	0	n1707	0	1566795	2
162	Impaler	-1	0	State_PoRenDan_Add	State_PoRenDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	-1	0	0	0	n1709	0	1566795	3
163	Ship Flamer	1	0	State_RanShaoDan_Add	State_RanShaoDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1710	0	1566795	3
164	Boat Accelerate	-1	0	State_czjs_Add	State_czjs_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	922	-1	0	0	0	error	0	1566795	0
165	Max HP Physical Resist Type	-1	0	State_XUEYU_Add	State_XUEYU_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s165ef	0	1566795	2
166	Bun attack type	-1	0	State_MANTOU_Add	State_MANTOU_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s166ef	0	1566795	2
167	Magic Wine	-1	0	State_NVER_Add	State_NVER_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s167ef	0	1566795	2
168	Fairy Possession B	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	528	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
169	Fairy Possession C	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	529	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
170	Fairy Possession D	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	530	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
171	Fairy Possession E	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	531	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
172	Fairy Possession F	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	532	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
173	Fairy Possession G	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	533	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
174	Fairy Possession H	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	534	-1	0	0	0	s0234	Grants the Power of the Fairy	1566795	1
176	Carrion Ball	-1	0	State_FuShiZhiQiu_Add	State_FuShiZhiQiu_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	1	0	0	0	n1700	0	1566795	3
177	Noise Polluter	1	State_ZaoYinZhiZao_Tran	State_ZaoYinZhiZao_Add	State_ZaoYinZhiZao_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	1	0	920	1	0	0	0	n1701	0	1566795	3
178	Earthquake Generator	-1	State_DiZhenFaSheng_Tran	State_DiZhenFaSheng_Add	State_DiZhenFaSheng_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	326	1	0	253	1	0	0	0	n1702	0	1566795	3
179	Chain Bullet	-1	0	State_LianDan_Add	State_LianDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	271	-1	0	0	0	n1716	0	1566795	3
180	Mirage Generator	-1	0	State_HuanYinFaSheng_Add	State_HuanYinFaSheng_Rem	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	912	-1	0	0	0	n1712	0	1566795	2
181	Stealth Ship	-1	0	State_ChuanZhiQianXing_Add	State_ChuanZhiQianXing_Rem	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1714	0	1566795	2
182	Radar	-1	State_LeiDa_Tran	State_LeiDa_Add	State_LeiDa_Rem	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	-1	176	1	0	0	-1	0	0	0	n1715	0	1566795	2
183	Carrion Bullet	1	0	State_FuShiDan_Add	State_FuShiDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	-1	0	0	0	n1711	0	1566795	3
184	Water Mine burning	1	State_Slrs_Tran	State_Slrs_Add	State_Slrs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	115	2	0	0	0	n1717	0	1566795	0
185	Burning Lamb	1	State_Myrs_Tran	State_Myrs_Add	State_Myrs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	115	2	0	0	0	n1774	0	1566795	0
186	Drag Tower	-1	0	State_JST_Add	State_JST_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	297	-1	0	0	0	error	0	1566795	0
187	Healing Spring	1	0	State_HFZQ_Add	State_HFZQ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	166	-1	0	0	0	s0122	Heals Target Continuously	1566795	0
188	Devil Curse	1	0	State_EmoYuYan_Add	State_EmoYuYan_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	936	-1	0	0	0	s0457	0	1566795	3
189	Super consciousness	3	State_XYSYF_Tran	State_XYSYF_Add	State_XYSYF_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	937	1	0	131	-1	0	0	0	error	0	1566795	0
190	Ammo Warehouse is gone	-1	0	State_JHKML_Add	State_JHKML_Rem	3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	error	0	1566795	0
191	Frozen ring	-1	0	State_BDH_Add	State_BDH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	943	-1	0	0	0	error	0	1566795	0
194	Egg Yolk Dumpling	-1	0	State_DHZ_Add	State_DHZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	1	0	0	0	n1866	0	1566795	1
195	Bean Paste Dumpling	-1	0	State_DSZ_Add	State_DSZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1867	0	1566795	1
196	Mount speed	-1	0	State_MLFT_Add	State_MLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	207	1	0	0	0	s0029	Increases Movement Speed	1566795	1
197	Cooking	-1	0	State_CK1N3_Add	State_CK1N3_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1669	0	1566795	0
200	Lv85 BB Cow	-1	0	State_BBRING1_Add	State_BBRING1_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	574	1	0	0	0	cos005	0	1566795	0
201	Lv85 BB Twined	-1	0	State_BBRING2_Add	State_BBRING2_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	576	1	0	0	0	cos005	0	1566795	0
202	Lv85 BB Hunting	-1	0	State_BBRING3_Add	State_BBRING3_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	575	1	0	0	0	cos005	0	1566795	0
203	Lv85 BB Navigating	-1	0	State_BBRING4_Add	State_BBRING4_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	573	1	0	0	0	cos005	0	1566795	0
204	Lv85 BB Sealing	-1	0	State_BBRING5_Add	State_BBRING5_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	572	1	0	0	0	cos005	0	1566795	0
205	Lv85 BB Holy	-1	0	State_BBRING6_Add	State_BBRING6_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	577	1	0	0	0	cos005	0	1566795	0
207	Christmas luck	-1	0	State_XSMAS01_Add	State_XSMAS01_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	571	1	0	0	0	xmas01	0	1566795	0
208	Premium	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	1566795	0
212	Potion of Life	1	State_Pof_Tran	State_Pof_Add	State_Pof_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	113	-1	0	0	0	t12706n	0	1566795	1
213	Quest - Smuggling	-1	0	State_SnvSmuggling_Add	State_SnvSmuggling_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	1	0	0	0	t0056	0	1566795	2
214	Radiation	1	State_Radiation_Tran	State_Radiation_Add	State_Radiation_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	2	0	0	0	n1696	0	1566795	3
215	Grinch	-1	0	State_Grinch_Add	State_Grinch_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	802	1	0	0	0	t6558	0	1566795	0
216	Perfect Luck Berry	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	182	1	0	0	0	t10510	0	1566795	0
217	Golder Roger	-1	0	State_GRoger_Add	State_GRoger_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4021	1	0	0	0	t_bell	0	1566795	0
218	TOP Champion	-1	0	State_TOP_8_Add	State_TOP_8_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4023	1	0	0	0	TOP	0	1566795	0
219	TOP Crusader	-1	0	State_TOP_9_Add	State_TOP_9_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4024	1	0	0	0	TOP	0	1566795	0
220	TOP Sharpshooter	-1	0	State_TOP_12_Add	State_TOP_12_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4025	1	0	0	0	TOP1	0	1566795	0
221	TOP Cleric	-1	0	State_TOP_13_Add	State_TOP_13_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4026	1	0	0	0	TOP	0	1566795	0
222	TOP Seal Master	-1	0	State_TOP_14_Add	State_TOP_14_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4027	1	0	0	0	TOP	0	1566795	0
223	TOP Voyager	-1	0	State_TOP_16_Add	State_TOP_16_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	4028	1	0	0	0	TOP	0	1566795	0
224	Condemnation	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	37	-1	0	0	0	s527	0	1566795	3
225	Red wind	-1	0	State_Rwind_Add	State_Rwind_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	1	0	0	0	s0456o	Increases Attack	1566795	1
226	Shadow step	-1	0	State_WuYin_Add	State_WuYin_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s0453o	0	1566795	1
227	Shadow step	-1	0	State_WuYin2_Add	State_WuYin2_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s0453o	0	1566795	1
228	Lubi Terror Hate	-1	0	State_DKR_Add	State_DRK_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s228ef	0	1566795	0
229	Lubi Terror Rage	-1	0	State_DKHP_Add	State_DKHP_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	s229ef	0	1566795	0
